Chemical name	Distance (lower = more similar)
1,4-Butanedisulfonyl dichloride, 1,1,2,2,3,3,4,4-octafluoro-	8
Trifluoroacetyl triflate	8
1,1,1,2,2,3,3,4,4-Nonafluoro-4-(methanesulfonyl)butane	8
Heptadecafluoro-1-octanesulfonyl chloride	8
Pentafluoroethane-1-sulfonyl chloride	8
Nonafluoro-1-butanesulfonyl chloride	8
1-[bromo(1,1,2,2,3,3,4,4,4-nonafluorobutylsulfonyl)methyl]sulfonyl-1,1,2,2,3,3,4,4,4-nonafluorobutane	8
1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluorohexane-1-sulphonyl chloride	8
Ethanesulfonic acid, 1,1,2,2-tetrafluoro-2-((trifluoroethenyl)oxy)-, polymer with tetrafluoroethene	8
Sulfurous acid--1,1,1,3,3,3-hexafluoropropan-2-ol (1/2)	9
1,1,2,3,4,4,5,5,6,6,6-Undecafluorohex-2-en-1-yl sulfurofluoridate	9
1,2,2,2-Tetrafluoroethane-1-sulfonic acid--pyridine (1/1)	9
(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)(phenyl)iodanium trifluoromethanesulfonate	9
Phenyl(tridecafluorohexyl)iodanium trifluoromethanesulfonate	9
1,1,2,2-Tetrafluoro-2-(1,2,2,2-tetrafluoroethoxy)ethane-1-sulfonyl fluoride	9
1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)propan-2-yl sulfurofluoridate	9
1,1,2,2-Tetrafluoro-2-(nonafluorobutoxy)ethane-1-sulfonyl fluoride	9
1,1,2,2-Tetrafluoro-2-[(tridecafluorohexyl)oxy]ethane-1-sulfonyl fluoride	9
2-Iodo-1,1,2,2-tetrafluoroethyl chlorosulfate	9
1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfonyl fluoride	9
Ethanesulfonyl fluoride, 1,1,2,2-tetrafluoro-2-(trifluoromethoxy)-	9
1,1,2,2-Tetrafluoro-2-(pentafluoroethoxy)ethane-1-sulfonyl fluoride	9
(Heptadecafluorooctyl)(phenyl)iodanium trifluoromethanesulfonate	9
(Heptafluoropropyl)(phenyl)iodanium trifluoromethanesulfonate	9
(4-Fluorophenyl)(heptadecafluorooctyl)iodanium hydrogen sulfate	10
1,2,3,3,3-Pentafluoroprop-1-ene-1-sulfonyl fluoride	10
Methyl 1,1,1,2,4,4,4-heptafluoro-3-oxobutane-2-sulfonate	10
(Pentafluoroethyl)(phenyl)iodanium hydrogen sulfate	10
2-(2-Chloro-1,1,2,2-tetrafluoroethoxy)-1,1,2,2-tetrafluoroethane-1-sulfonyl fluoride	10
1,1,2,2,3,4,4-Heptafluorobut-3-ene-1-sulfonyl fluoride	10
1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfonyl chloride	10
2-[(8-Chloro-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-hexadecafluorooctyl)oxy]-1,1,2,2-tetrafluoroethane-1-sulfonyl fluoride	10
1,2,2,3,3,4,4,5,5,6,7,7-Dodecafluorohept-6-ene-1-sulfonyl fluoride	10
9-Iodoperfluoro-3-oxanonanesulphonyl fluoride	10
1,1,2,2-Tetrafluoro-2-(1,1,2,2,3,3,4,4-octafluoro-4-iodobutoxy)ethane-1-sulfonyl fluoride	10
Sodium 1,1,2,2-tetrafluoro-2-(1,1,2,2,2-pentafluoroethoxy)ethanesulfonate	10
Potassium 1,1,2,2-tetrafluoro-2-(pentafluoroethoxy)ethane-1-sulfonate	10
2,2'-Oxybis(tetrafluoroethane-1-sulfonyl fluoride)	10
[(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)ethynyl]benzene	10
1-Octanesulfinic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, sodium salt	10
1-Heptanesulfinic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, sodium salt	10
1-Methyl-4-[2-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)ethenyl]benzene	11
Methanesulfonic acid--2,2,3,3-tetrafluoropropan-1-ol (1/1)	11
Tridecafluorohexane-1-sulfinyl chloride	11
Methanesulfonic acid--2,2,3,3,4,4,5,5-octafluoropentan-1-ol (1/1)	11
3-Chloro-1,1,2,2-tetrafluoro-3-oxopropyl sulfurofluoridate	11
1,1,2,2-Tetrafluoro-2-[(1,1,2,2-tetrafluoro-4-iodobut-3-en-1-yl)oxy]ethane-1-sulfonyl fluoride	11
Diphenyliodanium nonafluorobutane-1-sulfonate	11
3-(Ethanesulfonyl)-2,2,3,3-tetrafluoropropanoyl fluoride	11
1-Chloro-1,2,2,2-tetrafluoroethane-1-sulfinyl chloride	11
1,1,2,2-TETRAFLUORO-2-[(1,1,2,2-TETRAFLUORO-3-BUTENYL)OXY]-ETHANESULFONYL FLUORIDE	11
Trimethylsilyl nonafluorobutanesulfonate	11
1,1,1,2,2,3,3,4,4-Nonafluoro-4-[(1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonyl)methanesulfonyl]butane	11
Phenyl nonafluorobutane-1-sulfonate	11
Cyclohexanesulfonic acid, undecafluoro-, potassium salt	11
Sulfuric acid--2,2,3,3,3-pentafluoropropan-1-ol (1/2)	12
1,1,2,2-Tetrafluoro-2-{[1,1,1,2,3,3-hexafluoro-3-(pentafluoroethoxy)propan-2-yl]oxy}ethane-1-sulfonyl fluoride	12
Dipotassium 1,1,2,2,3,3,4,4-octafluoro-4-(1,1,2,2-tetrafluoro-2-sulfinatoethoxy)butane-1-sulfinate	12
1-(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)pent-1-yne	12
Acetic acid, difluoro[1,1,2,2-tetrafluoro-2-(fluorosulfonyl)ethoxy]-	12
bis(2,2,3,3,4,4,5,5-octafluoropentyl) sulfate	12
Cyclohexanesulfonyl fluoride, undecafluoro-	12
2-[2-(1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluorohexane-1-sulfonyl)ethenyl]furan	13
2-[2-(1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluorohexane-1-sulfonyl)ethenyl]thiophene	13
Benzenesulfonic acid--2,2,3,3-tetrafluoropropan-1-ol (1/1)	13
[2,2-Bis(1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonyl)ethenyl]benzene	13
2-[Bis(trifluoromethyl)amino]-1,1,2,2-tetrafluoroethane-1-sulfonyl fluoride	13
3-(1,1,1,2,3,3,3-Heptafluoropropane-2-sulfonyl)benzoic acid	13
4-(1,1,1,2,3,3,3-Heptafluoropropane-2-sulfonyl)benzoic acid	13
4-(1,1,2,2,3,3,3-Heptafluoropropane-1-sulfonyl)benzoic acid	13
3-(1,1,2,2,3,3,3-Heptafluoropropane-1-sulfonyl)benzoic acid	13
3-(Heptadecafluorooctyl)benzene-1-sulfonyl chloride	13
Methyl 2,2,3,3-tetrafluoro-3-(methanesulfonyl)propanoate	13
Difluoro[1,1,2,2-tetrafluoro-2-(fluorosulfonyl)ethoxy]acetyl chloride	13
1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoro-4-iodobutoxy)ethane-1-sulfonyl fluoride	13
(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)acetonitrile	13
Perfluorohexanesulfonamide	13
Ethanesulfonyl chloride, 1,1,2,2-tetrafluoro-2-[(trifluoroethenyl)oxy]-	13
Hexane, 1-(ethenylsulfinyl)-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-	13
Ethanesulfonamide, 1,1,2,2,2-pentafluoro-	13
1h,1h-perfluorohexyl p-toluenesulfonate	13
1h,1h-nonafluoropentyl p-toluenesulfonate	13
1H,1H,9H-Perfluorononyl p-toluenesulfonate	13
2,2,3,3,4,4,5,5-Octafluoropentyl 4-methylbenzene-1-sulfonate	13
2,2,3,3,3-Pentafluoropropyl 4-methylbenzene-1-sulfonate	13
1-chloro-4-[(1,1,2,2,3,3,3-heptafluoropropane)sulfonyl]benzene	13
2,2,3,3-tetrafluoropropyl p-toluenesulfonate	13
2,2,3,3,4,4,4-Heptafluorobutyl 4-methylbenzene-1-sulfonate	13
2,2,3,3,4,4,5,5,6,6,7,7-Dodecafluoroheptyl 4-methylbenzenesulfonate	13
(4-chlorophenyl) 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate	13
2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctyl 4-methylbenzene-1-sulfonate	13
p-(Pentadecafluoroheptyl)benzenesulphonyl chloride	13
1-Heptanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,7-undecafluoro-	13
1-Undecanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-nonadecafluoro-	13
1-Tetradecanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluoro-	13
1-Dodecanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluoro-	13
1-Nonanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-pentadecafluoro-	13
1-Octanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-	13
1-Hexanesulfonyl chloride, 3,3,4,4,5,5,6,6,6-nonafluoro-	13
1-Decanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-	13
PFOSA	13
2-(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)-1-phenylethan-1-one	14
"Ytterbium(3+) bis(1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonyl)(1,2,2,3,3,4,4,4-octafluorobutane-1-sulfonyl)methanide (methanesulfonyl)methanide tris(1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonyl)met
hanide (1/1/1/1)"	14
2,2,3,3-Tetrafluoro-3-(methanesulfonyl)propanoic anhydride	14
Methyl 2,3,3,3-tetrafluoro-2-(fluorosulfonyl)propanoate	14
3-[1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)propane-2-sulfonyl]benzoic acid	14
4-[1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)propane-2-sulfonyl]benzoic acid	14
1,4-Bis[(2,2,3,3,4,4,5,5-octafluoropentyl)oxy]-1,4-dioxobutane-2-sulfonic acid	14
Methyl 3-(chlorosulfonyl)-2,2,3,3-tetrafluoropropanoate	14
2,2,3,3,4,4,5,5,6,6,7,7-Dodecafluoroheptyl sulfurofluoridoite	14
Bis(Perfluorooctylsulfonyl)amine	14
1,1,2,2-Tetrafluoro-2-[(prop-2-en-1-yl)oxy]ethane-1-sulfonyl fluoride	14
Trimethylsilyl 1,1,2,2-tetrafluoro-2-(pentafluoroethoxy)ethane-1-sulfonate	14
naphthalen-1-yl 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate	14
(4-propan-2-ylphenyl) 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate	14
naphthalen-2-yl 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate	14
(2-methylphenyl) 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate	14
3-(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)propan-1-ol	15
2,5-Bis[(nonadecafluorononyl)oxy]benzene-1-sulfonic acid	15
Bis(tridecafluorohexyl)phosphinic acid	15
4-[(1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoronon-1-en-1-yl)oxy]benzene-1-sulfonic acid	15
4-(Methylsulfanyl)phenyl pentafluoroethane-1-sulfonate	15
Sulfuryl difluoride--undecafluoro(pentafluoroethyl)cyclohexane (1/1)	15
3,3,4,4,5,5-Hexafluoro-1,2lambda~6~,6lambda~6~-oxadithiane-2,2,6,6-tetrone	15
Bis(heptafluoropropyl)phosphinic acid	15
Bis(nonafluorobutyl)phosphinic acid	15
Bis(heptadecafluorooctyl)phosphinic acid	15
2,2,3,3,4,4,5,5,6,6,7,7-Dodecafluoroheptyl sulfurochloridoite	15
4,4,5,5,5-pentafluoropentyl methanesulfonate	15
octafluorobutane-1,4-disulfonamide	15
Chlorosulfurous acid, 2,2,3,3-tetrafluoropropyl ester	15
Chlorosulfurous acid, 2,2,3,3,4,4,5,5-octafluoropentyl ester	15
Pentafluoroethylphosphonic acid	15
3,4,4-Trifluoro-3-(trifluoromethyl)-1,2lambda~6~-oxathietane-2,2-dione	15
1,1,1-trifluoro-2-(trifluoromethyl)but-3-en-2-yl 4-bromobenzenesulfonate	15
Octafluorotetrahydrothiophene 1,1-dioxide	15
Hexane, 1-(pentafluorothio)-tridecafluoro-	15
1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-methyl-	15
1-Butanesulfonamide, 1,1,2,2,3,3,4,4,4-nonafluoro-N-methyl-	15
1-Heptanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-N-methyl-	15
1-Pentanesulfonamide, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-N-methyl-	15
1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-methyl-	15
1,2-Oxathietane, 3,3,4,4-tetrafluoro-, 2,2-dioxide	15
1,1,2,2-Tetrafluoro-2-({1,1,1,2,3,3-hexafluoro-3-[(trifluoroethenyl)oxy]propan-2-yl}oxy)ethanesulfonyl fluoride	15
Potassium 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl sulfate	16
Potassium 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-henicosafluorododecyl sulfate	16
1-[2,2-Bis(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonyl)ethenyl]naphthalene	16
4-(Methanesulfonyl)phenyl pentafluoroethane-1-sulfonate	16
Bis(4-tert-butylphenyl)iodanium nonafluorobutane-1-sulfonate	16
[(2,2,3,3-Tetrafluoropropane-1-sulfonyl)methyl]benzene	16
[(2,2,3,3,4,4,5,5-Octafluoropentane-1-sulfonyl)methyl]benzene	16
Benzoic acid, 4-[[(nonafluorobutyl)sulfonyl]oxy]-, methyl ester	16
1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfonamide	16
NSC263695	16
(3,5-ditert-butylphenyl) 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate	16
1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(1-methylethyl)-	16
Crotonophenone, 3'-fluorosulfonyl-4,4,4-trifluoro-3-trifluoromethyl-	16
1-Methoxy-4-[2-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)ethenyl]benzene	17
Methyl 3-(1,1,2,2,3,3,3-heptafluoropropane-1-sulfonyl)benzoate	17
1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoro-2-iodoethoxy)ethane-1-sulfonamide	17
Methyl 4-(1,1,2,2,3,3,3-heptafluoropropane-1-sulfonyl)benzoate	17
Bis(1,1,1,2,3,3,3-heptafluoropropan-2-yl)tetrasulfane	17
Methyl 3-(ethanesulfonyl)-2,2,3,3-tetrafluoropropanoate	17
1-Methyl-4-[1-(phenylsulfanyl)-2-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)ethyl]benzene	17
1,1,2,2-Tetrafluoro-2-(1,1,2,2,3,3,4,4-octafluoro-4-iodobutoxy)ethane-1-sulfonamide	17
1-Butanesulfonic acid, 1,1,2,2,3,3,4,4,4-nonafluoro-, 3-pyridinyl ester	17
2-(2-Chloro-1,1,2,2-tetrafluoroethoxy)-1,1,2,2-tetrafluoroethane-1-sulfonamide	17
6-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexylsulfonyl)naphthalen-2-ol	17
4-[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctane-1-sulfonyl)oxy]-2-hydroxybenzoic acid	18
(Pentafluoroethyl)boronic acid	18
3-Methyl-4-(methylsulfanyl)phenyl pentafluoroethane-1-sulfonate	18
N-(1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluorohexane-1-sulfinyl)benzenesulfonamide	18
2-(4-Bromophenoxy)-1,1,2,2-tetrafluoroethane-1-sulfonyl fluoride	18
4-(1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluorohexane-1-sulfonyl)aniline	18
2-[1-(Phenylsulfanyl)-2-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)ethyl]thiophene	18
2-[1-(Phenylsulfanyl)-2-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)ethyl]furan	18
Potassium Bisnonafluoro-1-butanesulfonimidate	18
2,2,3,3,4,4,5,5-Octafluorohexane-1,6-diyl bis(4-methylbenzene-1-sulfonate)	18
Tris(1,1,1,3,3,3-hexafluoropropan-2-yl) phosphite	18
Sodium 4-perfluorononyloxybenzenesulphonate	18
1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-phenyl-	18
Benzenesulfonyl chloride, 4-(1,1,2,2-tetrafluoroethoxy)-	18
3-(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)propyl prop-2-enoate	19
N-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctane-1-sulfonyl)benzamide	19
3-[1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)propane-2-sulfonyl]aniline	19
4-[1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)propane-2-sulfonyl]aniline	19
1,2,2,2-Tetrafluoro-1-(triethoxysilyl)ethane-1-sulfonyl fluoride	19
(2,2,3,3,4,4,5,5,6,6-Decafluorohexyl)phosphonic acid	19
3-(3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctane-1-sulfonyl)propan-1-ol	19
1,1,1,3,3,5-Hexafluoro-5-(heptadecafluorooctyl)-5-(pentafluoroethyl)trisiloxane	19
Tris(1,1,1,2,3,3-hexafluoropropan-2-yl) borate	19
1,1,1,2,2-Pentafluoro-2-[(trifluoromethyl)disulfanyl]ethane	19
3,3,3-Trifluoro-2-(trifluoromethyl)propanethioyl fluoride	19
1,2-Bis(chlorosulfanyl)-1,1,2,2-tetrafluoroethane	19
Trifluoroethanethioyl fluoride	19
N-(1,1,1,3,3,3-Hexafluoropropan-2-ylidene)benzenesulfonamide	19
Tetrakis(1,1,1,3,3,3-hexafluoroisopropoxy)silane	19
Martin Sulfurane Dehydrating agent	19
Disulfide, bis(pentafluoroethyl)	19
1,1,1,4,4,5,5,5-Octafluoro-2-trifluoromethylpentane-3-thione	19
Disulfide, bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]	19
Bis(tridecafluorohexyl) disulphide	19
1-Octanesulfonamide, N-ethenyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-methyl-	19
Pyridinium, 1-(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctyl)-, trifluoromethanesulfonate	19
Perfluoro(pentadecaoxypropylene)oxyethylene	19
1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-2-propenyl-	19
1-Heptanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-	19
1-Heptanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-N-2-propenyl-	19
